,lat,long,color
0,51.241301,-0.573214,0.16666666666666666
1,51.241191,-0.573185,1.0
2,51.241158,-0.573177,1.0
3,51.240625,-0.573054,0.8333333333333334
4,51.240596,-0.57333,0.5
5,51.240078,-0.573237,0.16666666666666666
6,51.239865,-0.573179,0.5
7,51.239833,-0.57315,0.5
8,51.239777,-0.573213,0.5
9,51.239763,-0.573421,0.3333333333333333
10,51.239688,-0.573413,0.5
11,51.239603,-0.573384,0.5
12,51.239611,-0.573325,0.3333333333333333
13,51.239566,-0.573229,0.16666666666666666
14,51.239319,-0.573355,0.16666666666666666
15,51.238825,-0.573607,0.16666666666666666
16,51.238187,-0.573234,0.16666666666666666
17,51.237579,-0.572994,0.16666666666666666
18,51.237448,-0.572933,0.16666666666666666
19,51.236914,-0.572792,0.3333333333333333
20,51.236862,-0.572749,0.3333333333333333
21,51.236762,-0.573189,0.3333333333333333
22,51.236754,-0.573226,0.3333333333333333
23,51.235723,-0.572611,0.16666666666666666
24,51.235812,-0.572198,0.16666666666666666
25,51.235603,-0.572077,0.16666666666666666
26,51.235443,-0.571985,0.16666666666666666
27,51.235078,-0.571777,0.3333333333333333
28,51.235044,-0.571751,0.3333333333333333
29,51.234869,-0.571659,0.16666666666666666
30,51.23476,-0.571599,0.3333333333333333
31,51.234697,-0.571639,0.5
32,51.234659,-0.571667,0.5
33,51.23457,-0.57171,0.5
34,51.234557,-0.571748,0.3333333333333333
35,51.23446,-0.571845,0.3333333333333333
36,51.23439,-0.571911,0.5
37,51.234306,-0.571913,0.3333333333333333
38,51.234099,-0.57193,0.3333333333333333
39,51.234025,-0.571965,0.5
40,51.233993,-0.57194,0.3333333333333333
41,51.23378,-0.571978,0.6666666666666666
42,51.23376,-0.571924,0.8333333333333334
43,51.23376,-0.571833,0.6666666666666666
44,51.233734,-0.57183,0.6666666666666666
45,51.233706,-0.571828,0.5
46,51.233703,-0.571946,0.5
47,51.233765,-0.572058,0.3333333333333333
48,51.233838,-0.572127,0.5
49,51.233875,-0.572159,0.5
50,51.2339,-0.57219,0.5
51,51.233831,-0.572502,0.16666666666666666
52,51.233766,-0.572849,0.16666666666666666
53,51.233725,-0.572949,0.16666666666666666
54,51.233687,-0.573099,0.3333333333333333
55,51.233651,-0.573104,0.3333333333333333
56,51.233654,-0.573224,0.5
57,51.233611,-0.573219,0.6666666666666666
58,51.233586,-0.573273,0.6666666666666666
59,51.233549,-0.573241,0.5
60,51.233231,-0.573056,0.16666666666666666
61,51.233253,-0.572756,0.3333333333333333
62,51.233263,-0.57268,0.3333333333333333
63,51.233169,-0.572522,0.16666666666666666
64,51.233028,-0.572265,0.5
65,51.233058,-0.572198,0.5
66,51.232995,-0.572179,0.6666666666666666
67,51.232936,-0.572165,0.5
68,51.232841,-0.572194,0.3333333333333333
69,51.232837,-0.572321,0.16666666666666666
70,51.232818,-0.572554,0.16666666666666666
71,51.232799,-0.572697,0.16666666666666666
72,51.232751,-0.57305,0.16666666666666666
73,51.232324,-0.572896,0.3333333333333333
74,51.232241,-0.572865,0.3333333333333333
75,51.232109,-0.572908,0.16666666666666666
76,51.232057,-0.573026,0.16666666666666666
77,51.231842,-0.572806,0.16666666666666666
78,51.231668,-0.572671,0.16666666666666666
79,51.231483,-0.572596,0.16666666666666666
80,51.230833,-0.572409,0.16666666666666666
81,51.230598,-0.57234,0.16666666666666666
82,51.230432,-0.572305,0.16666666666666666
83,51.230032,-0.572233,0.16666666666666666
84,51.229769,-0.572201,0.16666666666666666
85,51.229505,-0.572174,0.16666666666666666
86,51.22949,-0.572065,0.16666666666666666
87,51.229443,-0.571958,0.3333333333333333
88,51.229376,-0.571944,0.3333333333333333
89,51.229208,-0.572019,0.16666666666666666
90,51.229085,-0.572043,0.3333333333333333
91,51.229227,-0.57179,0.5
92,51.229247,-0.571757,0.5
93,51.229227,-0.57179,0.5
94,51.229085,-0.572043,0.3333333333333333
95,51.228949,-0.57199,0.16666666666666666
96,51.228171,-0.571024,0.3333333333333333
97,51.228158,-0.571003,0.3333333333333333
98,51.227979,-0.570728,0.16666666666666666
99,51.227641,-0.570128,0.3333333333333333
100,51.22762,-0.570092,0.3333333333333333
101,51.227367,-0.569593,0.16666666666666666
102,51.227208,-0.569279,0.16666666666666666
103,51.227109,-0.568794,0.16666666666666666
104,51.227124,-0.567769,0.3333333333333333
105,51.22713,-0.567717,0.3333333333333333
106,51.227156,-0.56759,0.16666666666666666
107,51.227177,-0.567468,0.16666666666666666
108,51.227254,-0.567148,0.3333333333333333
109,51.227256,-0.56714,0.3333333333333333
110,51.2273,-0.566948,0.16666666666666666
111,51.227346,-0.566751,0.16666666666666666
112,51.227374,-0.566631,0.16666666666666666
113,51.227483,-0.566183,0.16666666666666666
114,51.227505,-0.566081,0.16666666666666666
115,51.228112,-0.563346,0.16666666666666666
116,51.228549,-0.563258,0.16666666666666666
117,51.228923,-0.563143,0.16666666666666666
118,51.229203,-0.562802,0.3333333333333333
119,51.229237,-0.562784,0.3333333333333333
120,51.22936,-0.56251,0.16666666666666666
121,51.22977,-0.562086,0.16666666666666666
122,51.22988,-0.562007,0.16666666666666666
123,51.230009,-0.5619,0.16666666666666666
124,51.230273,-0.561728,0.3333333333333333
125,51.230292,-0.561656,0.5
126,51.230321,-0.561597,0.3333333333333333
127,51.230346,-0.56121,0.3333333333333333
128,51.230345,-0.561172,0.5
129,51.230393,-0.56111,0.3333333333333333
130,51.230901,-0.561144,0.16666666666666666
131,51.231315,-0.561281,0.16666666666666666
132,51.231747,-0.561293,0.16666666666666666
